team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed,deviation,teamChanges,returning_players,dropped_players,added_players
CEEEEEEEEEEEEBBB!!!,bankai#8407,no,,,,,,Very Competitive,,,no other competitions ,Old players,west,6,8.25,P2,G2,U0,U0,U0,"P2, G2, U0, U0, U0, U0",2909.75, , , ,"3000, 2999, 2847, 2793, 2639, 2620","19, 14, 0, 0, 0, 0",new team,,,,,,,,,,
Enemy on Scren,starfox64#5817,no,,,,,,Less competitive more for fun,,,we played a long time ago - we were trying to be competitive i think ,hopefully we can place in the plat / gold division - we're a team that hasn't played in a long time and doing a rotation so we won't be consistent ,east,9,20.25,D4,P1,P1,P2,P2,"D4, P1, P1, P2, P2, P3, G2, U0, U0",2911.5, , , ,"2969, 2942, 2881, 2854, 2839, 2834, 2782, 2731, 2630","22, 20, 20, 19, 19, 18, 14, 0, 0",new team,,,,,,,,,,
Dunning-Kruger Knights,ralphstew,no,,,,,,Less competitive more for fun,,,We played in Chair League ages ago. I do not remember at what level. ,,west,6,5.25,n0,n0,n0,D5,UR,"n0, n0, n0, D5, UR, U0",2703.75, , , ,"2887, 2689, 2654, 2585, 2526, 2500",", , , 21, 0, 0",new team,,,,,,,,,,
Small Potatoes,Chimpy#7138,no,,,,,,Balance winning with fun,,,,,west,9,23,D2,D2,D4,D4,G3,"D2, D2, D4, D4, G3, U0, U0, U0, U0",2219.25, , , ,", 2974, 2955, 2948, 2898, 2879, 2879, 2345, 1795","24, 24, 22, 22, 13, 0, 0, 0, 0",new team,,,,,,,,,,
Rolling Thunder,BeeMan#8914,no,,,,,,Balance winning with fun,,,Most members have competed in NGS previously. We have one new member that has never played in NGS,Many of the members have had experience in the Div D and E. ,west,6,15.25,P5,P5,G1,G2,G2,"P5, P5, G1, G2, G2, G3",2745.5, , , ,"2826, 2755, 2701, 2700, 2700, 2677","16, 16, 15, 14, 14, 13",new team,,,,,,,,,,
Protectors of Shakuras,TheBoomer444#8703,yes,Protectors of Aiur,C East,"Storm, KKzie, Panda","A, B, B",koolbeanz,Balance winning with fun,C/B,"I was a sub, so consider us brand new",,"While some of us have played together in the past, this is a new group of 5 and likely will take a season to truly know what our placement should be.  If C ends up being too low of a division, then we will do B next season no complaints.  We have scrimmed D teams and didn't drop maps, we scrimmed C West teams and didn't drop maps, and we scrimmed C East teams and went about .500.  The upper half of C or bottom half of B is what I am expecting for the 5 of us since everyone who was playing at higher divs before has taken a break and is warming back up to hots again.  I'll set up some scrims against B teams before mead hall in order to get a better gauge of where we should be placed.  Send a message to Boomer on discord when you go to do placements and I'll let you know how we fared against which teams.  ",east,6,18,M991,P4,G1,G2,G4,"M991, P4, G1, G2, G4, S5",2738, , , ,"2823, 2794, 2712, 2623, 2610, 2555","26, 17, 15, 14, 12, 6",new team,,,,,,,"Probably net neutral, I think we should be around the upper half of C East, if we do get B, it is likely we could get stomped every game",,,
Clussy Crusaders,Gojira#0793,yes,deadgaming,storm,none,none,,Balance winning with fun,we are all master players,made 2nd in storm,yes ccl players ,,either,7,26.5,GM,GM,M4178,M5952,M8397,"GM, GM, M4178, M5952, M8397, M3441, U0",3176, , , ,"3254, 3229, 3126, 3095, 3053, 3049, 2782","27, 27, 26, 26, 26, 26, 0",new team,,,,,,,new team,,,
Only Losses,sexyveganttv,no,,,,,,Balance winning with fun,,,No,,west,5,18.25,D1,P2,G1,G2,U0,"D1, P2, G1, G2, U0",2828, , , ,"2994, 2800, 2770, 2748, 2727","25, 19, 15, 14, 0",new team,,,,,,,,,,
Hunkrats,ColonelPants#1829,yes,Sky5 and Creepy Crawly Spiders,A and E,4,"4 A's and an E, also you misspelled ""div"" as ""dib"" :P",,Very Competitive,"Probably either A or B, up to you you cutie pies ;)",Always solid. I dunno' how you guys do it.,,,east,6,21.25,D3,D4,P1,P1,P2,"D3, D4, P1, P1, P2, G3",2933.75, , , ,"3017, 2934, 2930, 2854, 2799, 2661","23, 22, 20, 20, 19, 13",new team,,,,,,,We have a spreadsheet. Yeah- we're cool. HGC div please.,,,
Lox it in,TKSTanksta#4240,no,,,,,,Balance winning with fun,,,A couple members played in NGS I want to say 2 or 3 seasons ago. That is all.,"Myself and 2 others have played Storm/Hero League forever, and the 3 of us have made it all the way to masters for multiple seasons but that was years ago. ",west,5,14.75,D4,D4,G1,U0,U0,"D4, D4, G1, U0, U0",2919.5, , , ,"2996, 2992, 2879, 2811, 2591","22, 22, 15, 0, 0",new team,,,,,,,,,,
Reset City,Shroomy#8760,,,,,,,,,,,,,4,12.5,P2,P3,G3,U0,,"P2, P3, G3, U0",2848.5, , , ,"2961, 2870, 2856, 2707","19, 18, 13, 0",new team,,,,,,,,,,
Boomers and Zoomers,Unaverted👻#5137,yes,Dead gaming/30k,storm,5,storm,,Balance winning with fun,heroic,we've played a lot of hots,ccl,,either,5,19.5,M5006,M7048,M8968,U0,U0,"M5006, M7048, M8968, U0, U0",3200.5, , , ,"3333, 3208, 3190, 3071, 2909","26, 26, 26, 0, 0",new team,,,,,,,,,,
Team Cochitos,drulio#2658,no,,,,,,Balance winning with fun,,,,"This is our first experience, we would like to continue being part of these tournaments for the rest of the time. There is no more to add",west,7,12.25,G2,G3,G4,S1,S3,"G2, G3, G4, S1, S3, S3, S4",2648.25, , , ,"2692, 2641, 2638, 2622, 2563, 2559, 2207","14, 13, 12, 10, 8, 8, 7",new team,,,,,,,,,,
Reverse Smurfs,,no,,,,,,Less competitive more for fun,,,none,,west,5,14.5,D5,G1,G3,S2,S3,"D5, G1, G3, S2, S3",2768, , , ,"2961, 2813, 2654, 2644, 2420","21, 15, 13, 9, 8",new team,,,,,,,,,,
