team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed
TheBestFriends,『        』#1151,no,,,,,,Balance winning with fun,,,,,west,5,23,D1,D1,D3,P2,P5,"D1, D1, D3, P2, P5",2767.75,2870,2733.4,2596,"2870, 2799, 2710, 2692, 2596","25, 25, 23, 19, 16",new team,,,,,
Icecrown Citadel Archons,JacquelineHyde#9027,yes,I played under Deckards Erudition,Div B SE,"N/A, this is a new team.",N/A,"Thoragnor#1882, Snarfungus#1738, Ahkari#11807, JÄGER#11263, Bob#12778",Balance winning with fun,A,Placement for Deckards Erudition seemed fine; ICC Archons is a new team so here's hoping for this season too,No,"Can't think of anything, but feel free to message me on discord if you've got any questions!",east,6,25.25,GM,M347,D1,D3,D4,"GM, M347, D1, D3, D4, D5",2873.25,2992,2834,2738,"2992, 2884, 2825, 2792, 2773, 2738","27, 26, 25, 23, 22, 21",new team,,,,,
souls in slowmo,dontris#4724,yes,martyer of mortorium,d,dontris,d,fully new team other then self,Balance winning with fun,e ,we were placed in div d the whole season felt very one side with almost 100% lose,no,we are a fully new roaster taking over a old team name from my org majrity of players at silver so this will be first season as a 5 man ,east,7,13.5,P4,G1,G4,S1,S1,"P4, G1, G4, S1, S1, S3, U0",2606.75,2792,2560.1428571428573,2490,"2792, 2606, 2515, 2514, 2508, 2496, 2490","17, 15, 12, 10, 10, 8, 0",new team,,,,,
Small Potatoes,Chimpy#7138,no,,,,,,Balance winning with fun,,,Heroes Lounge - Second Highest Tier,,west,8,25.75,M2324,M1067,M2584,D1,D3,"M2324, M1067, M2584, D1, D3, D3, P2, G2",2937.5,2958,2824.75,2393,"2958, 2941, 2929, 2922, 2842, 2812, 2801, 2393","26, 26, 26, 25, 23, 23, 19, 14",new team,,,,,
CM Beyond,Rackham#4955,yes,"Blood Bath & Beyond, Clouded Minds, Waiting on Cherry, Phoenix Rising Sapphire","C West, D West, E East",4,"C West, D West, E East","DoubleLDam, hasn't played since season 9, was in D and C",Very Competitive,"D.  I think there are enough question marks that we don't belong in C, but I think the skill is definitely there to make us very competitive in D.","I can only speak for myself on Blood Bath & Beyond, I thought we fit nicely into Div C.  We finished in the middle of the pack, and every match felt competitive.","I'm not sure about the rest of the team, but I think we all have NGS experience and records so I don't think this matters a whole lot.","We do not want to end up in Div E.  I think with our past records we definitely belong at least in D.  If the placement committee decides otherwise, we would rather struggle a bit in D than coast in E.  I was in C last season, and both Daxx and Trilaina were on very good teams in D.",east,5,12.25,P2,G3,S2,S3,B3,"P2, G3, S2, S3, B3",2615.25,2808,2567.8,2378,"2808, 2640, 2551, 2462, 2378","19, 13, 9, 8, 3",new team,,,,,
Team Momentum,Glookie#2766,no,,,,,,Very Competitive,,,,"A few of us played like 3 years ago, and the other 2 played last season. I know i answered no earlier because this roster never played last season and those who did were on different teams. ",either,6,16.25,P2,P5,G1,G1,G2,"P2, P5, G1, G1, G2, G4",2686.5,2713,2631.8333333333335,2479,"2713, 2712, 2673, 2648, 2566, 2479","19, 16, 15, 15, 14, 12",new team,,,,,
Mallow Oats,Craftydevil#2707,yes,Several of our players are from various teams,the returning players were in div A,"stTerminator, Piemaker, Derkaderk","B, A, A","Solskido, Craftdevil",Balance winning with fun,"B or A.  We have some A veterans, but myself and Solskido are returning players.  I just placed my account, but didn't play much otherwise.  Solskido hasn't played in a long time",Didn't play last season,It's a brand new team,One of our members is essentially brand new.  I myself took off 4-5 months from competitive play (tourney or storm league) and am a returning player almost entirely save some aram's.,west,7,25,M1,M323,D2,D2,P4,"M1, M323, D2, D2, P4, G2, U0",2886.25,2952,2806.5714285714284,2618,"2952, 2924, 2840, 2829, 2794, 2689, 2618","26, 26, 24, 24, 17, 14, 0",new team,,,,,
Devil's Rejects Immortals,Errdawg #6129,yes,p0s3idon,Div-D,Errdawg#1144,Div-D,yes four friends,Very Competitive,Div-C ,I was a Sub in a div d team. i thought it was easy game play just bad comms,CCS Nexo season 3,none,west,6,22.75,M137,D3,D4,P1,P1,"M137, D3, D4, P1, P1, P3",2797,2882,2741,2568,"2882, 2824, 2759, 2723, 2690, 2568","26, 23, 22, 20, 20, 18",new team,,,,,
Wood League Airlines,Galahad#8021,yes,Wood League Express,E West,2,E West,"Zilla, Merrick, Baron",Balance winning with fun,E East ,Really bad due to smurfs,no,,west,5,6.25,S4,S4,S5,B1,U0,"S4, S4, S5, B1, U0",2536.25,2592,2494.4,2327,"2592, 2529, 2527, 2497, 2327","7, 7, 6, 5, 0",new team,,,,,
Infernal Affairs,Stro#4514,yes,Ionic,Division D East,3,D,"Cly, Bramble",Very Competitive,Div C,Seemed good to me,No,N/A,east,7,18.25,P1,P2,P2,G1,G3,"P1, P2, P2, G1, G3, G4, S2",2752.25,2785,2691.1428571428573,2588,"2785, 2771, 2734, 2719, 2630, 2611, 2588","20, 19, 19, 15, 13, 12, 9",new team,,,,,
A New Barak Obama,AngryPanda#1114,no,,,Everyone,"B, C, D",N/A,Balance winning with fun,,,"None (teammates have played for other teams and in prior NGS seasons, but never together before and AngryPanda did not play last season)",Team members have been on teams ranging from div A-D,east,5,19.25,M1,P2,P3,G2,U0,"M1, P2, P3, G2, U0",2115.25,2991,2191.8,2498,", 2991, 2758, 2712, 2498","26, 19, 18, 14, 0",new team,,,,,
GG till i die,MyPalVince#6282,no,,,,,,Balance winning with fun,,,new team,,either,5,27,GM,GM,GM,GM,GM,"GM, GM, GM, GM, GM",3168.75,3193,3152.6,3088,"3193, 3181, 3173, 3128, 3088","27, 27, 27, 27, 27",new team,,,,,
Almost Legends Ruby,KING#7773,yes,Almost Legends Gold,C East,3,C,"QBall162, RatBassToad, chickenmeow",Balance winning with fun,D,The placement was correct for the team I was on.  Most games were very competitive.,No other competitions.,No,east,7,17,D5,P2,G1,G3,G3,"D5, P2, G1, G3, G3, S2, U0",2682.75,2750,2626.4285714285716,2524,"2750, 2698, 2672, 2611, 2601, 2529, 2524","21, 19, 15, 13, 13, 9, 0",new team,,,,,
Under Newb Management,Liddell #7334,yes,Sky 5,A,AgsilverAG Alanbydefault Zloth Sneakyglades,A/B,Sneakyglades,Balance winning with fun,I believe we are A division due to various role swaps and new shot calling. ,I was on a competitive A team last season and I think we were well placed considering what happened in the playoffs.,This is the first competition for us as a 5 stack. ,"Bioveran, who is on our roster is new to the game and will hopefully not be in any of our league games. He is not a smurf, just bad and that is why he is in Silver. ",east,7,25.5,M1526,M1418,M673,D2,D3,"M1526, M1418, M673, D2, D3, D4, U0",2905,2928,2751,1945,"2928, 2913, 2907, 2872, 2849, 2843, 1945","26, 26, 26, 24, 23, 22, 0",new team,,,,,
Mean Old Men,HuckIt#0851,yes,death and delay,B SouthEast,2,B SouthEast both,"CoachBombay, Maurice, Beachyman",Balance winning with fun,B or C,Great,No,No,east,6,22.25,M1475,D5,D5,D5,P3,"M1475, D5, D5, D5, P3, G4",2791.5,2806,2722.1666666666665,2549,"2806, 2805, 2805, 2750, 2618, 2549","26, 21, 21, 21, 18, 12",new team,,,,,
The EH Team,Harkin Giantsbane#4886,no,,,,,,Balance winning with fun,,,no,,west,5,12.75,P3,G4,G5,S1,S1,"P3, G4, G5, S1, S1",2556,2622,2544.6,2499,"2622, 2585, 2509, 2508, 2499","18, 12, 11, 10, 10",new team,,,,,
Magnitude,PunkRKpirate#0037,yes,Blood bath and beyond ,div c,5,Div c,None,Very Competitive,Div B,fair,fair,nope,west,5,23,D1,D1,D4,P1,P2,"D1, D1, D4, P1, P2",2817.25,2943,2781.6,2639,"2943, 2854, 2826, 2646, 2639","25, 25, 22, 20, 19",new team,,,,,
Clouded Minds Unleashed,Traxex #9930,no,,,,,,Balance winning with fun,,,Not as this unit no,Smorc was in Div A last season and Traxex was Grand Champ of Div D,east,6,24,M3684,M687,D3,D5,P1,"M3684, M687, D3, D5, P1, P1",2836,2849,2822,2782,"2849, 2835, 2830, 2830, 2806, 2782","26, 26, 23, 21, 20, 20",new team,,,,,
WHATS WAVE CLEAR,SYMBOLIC#6558,no,,,,,,Very Competitive,,,,,west,7,21.75,D1,D4,P1,P1,P2,"D1, D4, P1, P1, P2, P3, P5",2831.75,2857,2796.5714285714284,2717,"2857, 2851, 2820, 2799, 2785, 2747, 2717","25, 22, 20, 20, 19, 18, 16",new team,,,,,
Big Push Power,Multiplicasian#7701,yes,Bad Matchmaker,C,3,B,,Balance winning with fun,,,,,west,5,26.25,GM,M1652,M168,M1,D1,"GM, M1652, M168, M1, D1",2950.75,3042,2922.2,2808,"3042, 2968, 2920, 2873, 2808","27, 26, 26, 26, 25",new team,,,,,
We Are Farmers,Hashmer#5809,no,,,,,,Very Competitive,,,"Dream hack qualifiers, previous top level NGS (was a while ago so not certain what top division was at the time)",,east,5,27,GM,GM,GM,GM,M900,"GM, GM, GM, GM, M900",3012.25,3103,2987.8,2890,"3103, 3003, 2980, 2963, 2890","27, 27, 27, 27, 26",new team,,,,,
PorkSlap,ElDuque#9273,no,,,,,,Less competitive more for fun,,,Several years ago a NGS season,"When we did play, we won 3 total matches the entire season",west,6,10.75,G1,G4,S2,S4,U0,"G1, G4, S2, S4, U0, U0",2533.25,2545,2516.8333333333335,2479,"2545, 2535, 2527, 2526, 2489, 2479","15, 12, 9, 7, 0, 0",new team,,,,,
Error 404,,no,,,,,,Very Competitive,,,Heroes Challenger Invitational,,east,6,27,GM,GM,GM,GM,GM,"GM, GM, GM, GM, GM, M1052",3047,3096,2999.6666666666665,2893,"3096, 3048, 3028, 3016, 2917, 2893","27, 27, 27, 27, 27, 26",new team,,,,,
ReGen Nebula,Murda#1838,yes,COSMOS,B West,"Kurama, Styxa, ITCowboy","Div B, Styxa only played about 3 games as a sub though (most of his experience is in Div C West with Annie Oak League in the past)","Murda, Austin, CMshives, RayZaken",Balance winning with fun,Div C or Div B,Not applicable for most of the team. Kurama/ITCowboy who played last season say their team felt about right. This season we have a completely different and mostly new team.,Most of us have been around in one way or another for awhile. We like to push ourselves to win.,"I'm not really sure where we fit to be honest. We struggled a bit in Nexomania during the offseason against a few teams in the B/C range. We have since made even more changes to our roster, so I have no idea where we fit right now. Some of us are on new roles and most of us haven't played or haven't been more than a sub for quite some time.",east,7,20,D5,P1,P1,P2,P2,"D5, P1, P1, P2, P2, P4, P4",2756.5,2845,2703.8571428571427,2597,"2845, 2755, 2731, 2695, 2687, 2617, 2597","21, 20, 20, 19, 19, 17, 17",new team,,,,,
The Wild Squad,Jazzalene#2195,no,,,,,,Less competitive more for fun,,,"Our team has never competed together before. The majority of us haven’t ever played competitively. GOON and I are playing in Nexomania and we have never even won a game :’( So we low key suck haha, but we have fun. ",We really aren’t here to try-hard or be competitive in our games. We just want to get together once a week and play some games through NGS. ,east,7,26,GM,M294,M1332,D1,D3,"GM, M294, M1332, D1, D3, P4, UR",2856.75,2892,2807.1428571428573,2714,"2892, 2887, 2871, 2777, 2768, 2741, 2714","27, 26, 26, 25, 23, 17, 0",new team,,,,,
Knife Party,xxwarisfunxx #6993,no,,,,,,Balance winning with fun,,,3 of us played in the ReGen ARAM Cancer Awareness tournament  ,,west,6,18,P1,P3,P3,P5,G1,"P1, P3, P3, P5, G1, G2",2699.5,2794,2664.5,2592,"2794, 2686, 2682, 2636, 2597, 2592","20, 18, 18, 16, 15, 14",new team,,,,,
Tactical Feed,broomboy #3113,no,,,,,,Less competitive more for fun,,,We are a brand new team,Two members were on a bottom Div A team last they played. I played on a mid B team last I played and we have two players we got from the free agent combine and have zero comp experience as well as joining late so we haven't played together yet. The GM 48 is only a medium master that was done at the start of a ranked season less pts than would take to be GM 100 currently by over 1200. Viper has only played Div D-B. I think we're a Div B-A team.  ,east,6,25.25,GM,M634,D2,D2,D5,"GM, M634, D2, D2, D5, P2",2933.25,2972,2864.6666666666665,2712,"2972, 2941, 2928, 2892, 2743, 2712","27, 26, 24, 24, 21, 19",new team,,,,,
Phoenix Rising Esports,Alfie #7043,yes,Fancy Flightless Fowl,Heroic,2,Heroic,3,Very Competitive,Storm / Heroic,The placement was accurate for our skill level,,,east,5,26.25,GM,M1406,M1,M1215,M2990,"GM, M1406, M1, M1215, M2990",3027,3084,3010.2,2943,"3084, 3065, 2984, 2975, 2943","27, 26, 26, 26, 26",heroic,8,18,11,3,12
The Fallen Lords,strange_unknown#5447,yes,The Nine Avatara,Division E East,2,E East,"fatandy, icer189, slapdasher, beefprime, garrick",Balance winning with fun,D,"Our placement suited us as a new team last season. We have new players to NGS, but some of them are very skilled.",Some members are currently competing in Nexomania.,"Much like The Nine Avatara, this team is comprised almost entirely of current and former myth players.",east,7,10,D5,S4,S5,S5,B1,"D5, S4, S5, S5, B1, U0, U0",2732,2909,2631.4285714285716,2452,"2909, 2821, 2639, 2559, 2548, 2492, 2452","21, 7, 6, 6, 5, 0, 0",new team,,,,,
Screaming Nachos,AtomicAlien#5771,no,,,,,,Less competitive more for fun,,,We played in Road to Nexomania. It wasn't very competitive.,,either,5,7,S3,S4,S4,S5,B3,"S3, S4, S4, S5, B3",2530,2642,2489.6,2328,"2642, 2625, 2502, 2351, 2328","8, 7, 7, 6, 3",new team,,,,,
Phoenix Rising Jade,TheBoomer444#8703,yes,Protectors of Auir,C East,4,"C West, C East, D West, D West",,Balance winning with fun,D,,"Nexomania, medium competitiveness",,west,5,18.25,D5,P1,P5,P5,S1,"D5, P1, P5, P5, S1",2657.25,2693,2631.8,2530,"2693, 2688, 2662, 2586, 2530","21, 20, 16, 16, 10",new team,,,,,
Cats On My Keyboard,olakakaloha#4470,no,,,,,,Balance winning with fun,,,n/a,Someone on our team played on a team in B Division last team and doesn't think we could compete in B. :),west,6,20.5,M448,D3,P1,G3,G4,"M448, D3, P1, G3, G4, G5",2691,2924,2491.3333333333335,1929,"2924, 2768, 2731, 2341, 2255, 1929","26, 23, 20, 13, 12, 11",new team,,,,,
LTK - Smoke,SyCo #8390,no,,,,,,Very Competitive,,,,,east,8,22.5,D1,D4,D4,D5,P2,"D1, D4, D4, D5, P2, P3, P3, S2",2844.25,2883,2769.875,2642,"2883, 2857, 2823, 2814, 2733, 2720, 2687, 2642","25, 22, 22, 21, 19, 18, 18, 9",new team,,,,,
LTK - No Time To Die,Dutch#8586,no,,,,,,Very Competitive,,,"Nexomania - Top Bracket, 1st Place",,east,6,26.25,GM,M3858,M2191,M1225,M2507,"GM, M3858, M2191, M1225, M2507, D2",2952.25,3008,2910.8333333333335,2779,"3008, 2972, 2936, 2893, 2877, 2779","27, 26, 26, 26, 26, 24",new team,,,,,
Phoenix Rising Citrine,Daust#7433,no,,,,,,Balance winning with fun,,,,"we have members with some minor prior experience, but the team together has no experience playing together",east,6,21,D2,D5,P1,P2,P4,"D2, D5, P1, P2, P4, G3",2746.75,2796,2712.1666666666665,2603,"2796, 2795, 2702, 2694, 2683, 2603","24, 21, 20, 19, 17, 13",new team,,,,,
The Church of Orphea,Coffee#7831,,,,,,,,,,,,,5,26.75,GM,GM,GM,M607,D2,"GM, GM, GM, M607, D2",3024,3321,2985.4,2831,"3321, 3025, 2914, 2836, 2831","27, 27, 27, 26, 24",new team,,,,,
BanzaiGG,TheStroke#3266,no,,,,,,Less competitive more for fun,,,No,Been out of the game for a long time,west,6,6,D2,U0,U0,U0,U0,"D2, U0, U0, U0, U0, U0",1934.5,2849,1910,1693,", 2849, 2806, 2083, 2029, 1693","24, 0, 0, 0, 0, 0",new team,,,,,
ALMS,Ace2881 #6677,yes,Phoenix Rising Citrine,B,3,B,LegaLegaLi#1902,Very Competitive,B,"I felt our placement was perfect last season. Div B provided a competitive environment where we could improve, but still have fun and win games.",No,We would like to remain in Div B,west,6,21.25,D1,D5,P1,P2,P2,"D1, D5, P1, P2, P2, P4",2821.25,2942,2772.6666666666665,2631,"2942, 2800, 2791, 2752, 2720, 2631","25, 21, 20, 19, 19, 17",new team,,,,,
